Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Supply,BTC_Demand,BTC_Daily_Return,BTC_Price_Change,BTC_Inflation,BTC_MarketCap,BTC_Supply_Proxy,BTC_Demand_Proxy,BTC_Intraday_Return_Pct,BTC_Market_Value_Proxy,LINK_Open,LINK_High,LINK_Low,LINK_Close,LINK_Volume,LINK_Supply,LINK_Demand,LINK_Daily_Return,LINK_Price_Change,LINK_Inflation,LINK_MarketCap,LINK_Supply_Proxy,LINK_Demand_Proxy,LINK_Intraday_Return_Pct,LINK_Market_Value_Proxy,Price_Ratio,BTC_Open_Norm,BTC_High_Norm,BTC_Low_Norm,BTC_Close_Norm,BTC_Volume_Norm,LINK_Open_Norm,LINK_High_Norm,LINK_Low_Norm,LINK_Close_Norm,LINK_Volume_Norm
2018-01-01,14112.200195,14112.200195,13154.700195,13657.200195,10291200000,10634059146.31369,9959395183.23193,-3.224161,-455.0,-3.224161,145231474650000.0,10634059146.31369,9959395183.23193,-3.224161,145231474650000.0,0.600415,0.736103,0.574218,0.733563,11506300,9417807.27696,14057936.820803,22.175998,0.133148,22.175998,6908555.015302,9417807.27696,14057936.820803,22.175998,6908555.015302,18617.62396,0.089502,0.08816,0.083025,0.085754,0.021168,0.008337,0.010636,0.008849,0.010903,6.5e-05
2018-01-02,13625.0,15444.599609,13163.599609,14982.099609,16846600192,15320611503.101294,18524582910.521835,9.960364,1357.099609,9.960364,229534927616000.03,15320611503.101294,18524582910.521835,9.960364,229534927616000.03,0.729082,0.764335,0.585715,0.673712,12671100,13712492.24389,11708796.063789,-7.594478,-0.05537,-7.594478,9238270.782387,13712492.24389,11708796.063789,-7.594478,9238270.782387,22238.136284,0.085493,0.098999,0.083099,0.096657,0.040003,0.010807,0.011172,0.009096,0.009752,7.2e-05
2018-01-03,14978.200195,15572.799805,14844.5,15201.0,16871900160,16624610109.322084,17122868634.939426,1.487494,222.799805,1.487494,252710698271805.0,16624610109.322084,17122868634.939426,1.487494,252710698271805.0,0.669799,0.70425,0.629135,0.681167,8620400,8476533.636936,8766708.107686,1.697231,0.011368,1.697231,5773935.042906,8476533.636936,8766708.107686,1.697231,5773935.042906,22316.113163,0.096629,0.100042,0.097106,0.098458,0.040076,0.009669,0.010032,0.010029,0.009896,4.8e-05
2018-01-04,15270.700195,15739.700195,14522.200195,15599.200195,21783199744,21324472307.57321,22251795225.830006,2.151178,328.5,2.151178,332644712585232.06,21324472307.57321,22251795225.830006,2.151178,332644712585232.06,0.680094,1.02215,0.680094,0.984368,24679000,17050574.042497,35720383.342051,44.739995,0.304274,44.739995,16784039.916754,17050574.042497,35720383.342051,44.739995,16784039.916754,15846.918814,0.099036,0.1014,0.09442,0.101735,0.054187,0.009867,0.016064,0.011123,0.015723,0.000142
2018-01-05,15477.200195,17705.199219,15202.799805,17429.5,23840899072,21170450544.971687,26848198972.141933,12.614037,1952.299805,12.614037,368990367773584.0,21170450544.971687,26848198972.141933,12.614037,368990367773584.0,0.958734,1.26386,0.851669,0.907486,23599300,24932010.169471,22337828.225818,-5.345378,-0.051248,-5.345378,22625450.717157,24932010.169471,22337828.225818,-5.345378,22625450.717157,19206.356447,0.100735,0.117389,0.100092,0.116798,0.060099,0.015217,0.02065,0.014807,0.014245,0.000136
2018-01-06,17462.099609,17712.400391,16764.599609,17527.0,18314600448,18246783666.850002,18382669279.91629,0.371664,64.900391,0.371664,319811377328880.0,18246783666.850002,18382669279.91629,0.371664,319811377328880.0,0.964796,1.19228,0.938462,1.06357,16319300,14803722.498277,17990039.499929,10.237814,0.098774,10.237814,15744795.471805,14803722.498277,17990039.499929,10.237814,15744795.471805,16479.403921,0.11707,0.117448,0.113106,0.1176,0.044221,0.015333,0.019292,0.016671,0.017245,9.3e-05
2018-01-07,17527.300781,17579.599609,16087.700195,16477.599609,15866000384,16876739787.24283,14915793652.004484,-5.988949,-1049.701172,-5.988949,278088160925795.97,16876739787.24283,14915793652.004484,-5.988949,278088160925795.97,1.08832,1.32178,1.00805,1.27046,23308800,19967124.834962,27209734.096954,16.735886,0.18214,16.735886,25367433.609009,19967124.834962,27209734.096954,16.735886,25367433.609009,12969.790064,0.117606,0.116368,0.107466,0.108964,0.037186,0.017705,0.021749,0.018166,0.021221,0.000134
2018-01-08,16476.199219,16537.900391,14208.200195,15170.099609,18413899776,19999280750.666843,16954194962.699701,-7.92719,-1306.099609,-7.92719,303391081103472.06,19999280750.666843,16954194962.699701,-7.92719,303391081103472.06,1.27167,1.43502,1.05292,1.3773,25545400,23586232.366918,27667304.002113,8.306404,0.10563,8.306404,32485318.405795,23586232.366918,27667304.002113,8.306404,32485318.405795,11014.375477,0.108956,0.107893,0.091804,0.098204,0.044506,0.021226,0.023898,0.019129,0.023274,0.000147
2018-01-09,15123.700195,15497.5,14424.0,14595.400391,16659999744,17263030450.612366,16078034054.573217,-3.493191,-528.299805,-3.493191,251960841382239.0,17263030450.612366,16078034054.573217,-3.493191,251960841382239.0,1.37831,1.42467,1.18373,1.22828,14301200,16048040.596691,12744504.240734,-10.885071,-0.15003,-10.885071,19711486.47337,16048040.596691,12744504.240734,-10.885071,19711486.47337,11882.796273,0.097826,0.099429,0.093602,0.093475,0.039467,0.023273,0.023702,0.021938,0.02041,8.2e-05
2018-01-10,14588.5,14973.299805,13691.200195,14973.299805,18500800512,18025347237.40843,18988794783.07516,2.637693,384.799805,2.637693,269898928269312.0,18025347237.40843,18988794783.07516,2.637693,269898928269312.0,1.23827,1.26448,1.09296,1.18871,11260700,11730184.645327,10810005.837421,-4.002364,-0.04956,-4.002364,13943787.488151,11730184.645327,10810005.837421,-4.002364,13943787.488151,12596.259919,0.093422,0.095165,0.087496,0.096584,0.044756,0.020584,0.020662,0.019989,0.01965,6.4e-05
