Date,BTC_Daily_Return,LINK_Daily_Return,Rolling_30_Day_Correlation
2018-01-01,-3.224161,22.175998,
2018-01-02,9.960364,-7.594478,
2018-01-03,1.487494,1.697231,
2018-01-04,2.151178,44.739995,
2018-01-05,12.614037,-5.345378,
2018-01-06,0.371664,10.237814,
2018-01-07,-5.988949,16.735886,
2018-01-08,-7.92719,8.306404,
2018-01-09,-3.493191,-10.885071,
2018-01-10,2.637693,-4.002364,
2018-01-11,-10.438131,-14.646448,
2018-01-12,3.914844,2.117995,
2018-01-13,2.922793,4.534583,
2018-01-14,-4.166781,-8.640314,
2018-01-15,0.381338,-12.836986,
2018-01-16,-16.952752,-14.212178,
2018-01-17,-2.121406,-7.077637,
2018-01-18,2.465448,5.947151,
2018-01-19,1.553838,9.975377,
2018-01-20,10.663853,48.573006,
2018-01-21,-10.001401,-25.744537,
2018-01-22,-6.03192,-11.364176,
2018-01-23,-0.695323,-0.039638,
2018-01-24,4.182182,-0.749199,
2018-01-25,-1.420978,-4.990856,
2018-01-26,-0.751596,-6.204723,
2018-01-27,2.378543,9.805603,
2018-01-28,2.710169,-3.663962,
2018-01-29,-3.905403,-7.807487,
2018-01-30,-10.617505,-14.746612,0.4297590038307652
2018-01-31,1.116909,3.55234,0.4631419283718379
2018-02-01,-10.420324,-16.067514,0.5427254224477424
2018-02-02,-3.407577,-4.603425,0.5442767521212918
2018-02-03,3.646472,3.687341,0.5801015161643979
2018-02-04,-9.794244,-16.243556,0.6771184387605738
2018-02-05,-15.903073,-20.609169,0.6966203779084741
2018-02-06,9.958521,23.723987,0.7807507042810455
2018-02-07,-1.730264,-11.517259,0.8161430951519454
2018-02-08,8.218663,9.468366,0.8199401562727597
2018-02-09,5.623182,5.622426,0.8278892599902807
2018-02-10,-1.125904,-3.588722,0.8235504264907956
2018-02-11,-5.642437,-0.847953,0.8181441953750694
2018-02-12,9.643762,17.421284,0.8289539677010856
2018-02-13,-3.678957,16.736345,0.7922375537083457
2018-02-14,10.403701,0.717468,0.7787558535900505
2018-02-15,7.146471,-0.526886,0.768833552220649
2018-02-16,0.968855,13.852723,0.7621414747339461
2018-02-17,8.867991,4.368507,0.7504263836676793
2018-02-18,-5.138722,12.575963,0.716846398877243
2018-02-19,6.374734,1.88116,0.7111012078441842
2018-02-20,1.530479,-9.248902,0.67058791007802
2018-02-21,-5.99532,-5.99614,0.6640726890635327
2018-02-22,-6.14799,-8.074446,0.6713599638840405
2018-02-23,3.663346,12.23807,0.6800429801066461
2018-02-24,-4.613566,-3.708139,0.6813094910439315
2018-02-25,-1.344261,4.597741,0.679555633979612
2018-02-26,7.211082,2.778888,0.6734899508298495
2018-02-27,3.191287,4.639231,0.6838746114913192
2018-02-28,-2.706975,-8.657964,0.6808465965278855
2018-03-01,5.450169,0.116565,0.6468861123371699
2018-03-02,0.992949,-1.348265,0.6458544633332234
2018-03-03,3.493094,-3.595328,0.5993920492872764
2018-03-04,0.132197,-5.784952,0.5922924242486811
2018-03-05,0.354648,-1.253482,0.5912257559606469
2018-03-06,-6.262548,-8.535354,0.5636556268074399
2018-03-07,-7.759513,-2.376571,0.44971367805011137
2018-03-08,-5.591459,-6.000503,0.3940462222090315
2018-03-09,-0.819364,-0.937315,0.3884742536704677
2018-03-10,-5.182452,-2.296007,0.36319702875004056
2018-03-11,8.199115,10.27661,0.3886038235590899
